step,time,shoulder_pan.pos,shoulder_lift.pos,elbow_flex.pos,wrist_flex.pos,wrist_roll.pos,gripper.pos
0,0.000,-19.66046142578125,-95.89775848388672,97.2105941772461,71.93656921386719,-61.874053955078125,0.47645044326782227
1,0.077,-24.592952728271484,-84.6769790649414,84.52896118164062,73.66531372070312,-61.808921813964844,1.7804627418518066
2,0.188,-22.760141372680664,-91.4432144165039,93.93212890625,71.0266342163086,-62.648658752441406,0.9760308265686035
3,0.265,-22.734020233154297,-91.04762268066406,92.42338562011719,71.9618911743164,-62.0618782043457,1.4156584739685059
4,0.416,-21.70067596435547,-92.98030853271484,94.52129364013672,71.69296264648438,-62.05317687988281,1.5267987251281738
5,0.453,-20.14774513244629,-95.10643768310547,95.77347564697266,73.07503509521484,-61.704402923583984,0.4652528762817383
6,0.568,-20.358325958251953,-95.45230865478516,96.2607192993164,72.62318420410156,-61.65989685058594,0.41167688369750977
7,0.681,-19.920063018798828,-95.68603515625,96.10047149658203,73.0860595703125,-61.662784576416016,0.3728303909301758
8,0.757,-19.59367561340332,-95.25897216796875,96.04867553710938,72.74182891845703,-61.76637649536133,0.2404789924621582
9,0.868,-19.765670776367188,-95.28096008300781,96.27953338623047,72.81649780273438,-61.75392150878906,0.16607427597045898
10,0.981,-24.366607666015625,-92.14787292480469,89.10786437988281,70.69486999511719,-63.36912536621094,1.2684764862060547
11,1.057,-24.69420051574707,-91.51227569580078,88.3801040649414,69.77729034423828,-63.98278045654297,1.3785490989685059
12,1.169,-27.164854049682617,-86.92320251464844,84.5696029663086,67.92916870117188,-65.08040618896484,3.729484796524048
13,1.245,-30.20073127746582,-70.74992370605469,67.40003967285156,65.62409973144531,-65.7774429321289,5.856753349304199
14,1.473,-31.378501892089844,-70.22478485107422,69.7800064086914,64.40037536621094,-67.9780502319336,19.35198211669922
15,1.545,-31.028427124023438,-82.50239562988281,83.42243194580078,59.20859909057617,-65.56696319580078,15.282425880432129
16,1.661,-30.83142852783203,-86.33714294433594,86.75460815429688,60.26313781738281,-65.07658386230469,13.66693115234375
17,1.772,-29.468994140625,-94.82532501220703,91.63806915283203,67.61524963378906,-62.577476501464844,3.1118433475494385
18,1.961,-28.801494598388672,-79.5145034790039,78.73643493652344,65.94708251953125,-62.71739959716797,6.974678039550781
19,2.072,-30.813051223754883,-77.4731216430664,75.70441436767578,62.374000549316406,-61.68256378173828,9.275465965270996
20,2.149,-31.19109344482422,-68.66193389892578,67.94685363769531,64.41571044921875,-60.71675109863281,8.766674995422363
21,2.260,-33.79180145263672,-58.94697570800781,59.40715789794922,61.9658203125,-62.702823638916016,9.458714485168457
22,2.337,-35.58447265625,-54.20839309692383,62.35966491699219,52.446407318115234,-63.98213577270508,7.4482526779174805
23,2.449,-37.50956726074219,-56.611915588378906,64.94673156738281,51.75064468383789,-63.01253890991211,6.319661617279053
24,2.565,-39.06612014770508,-58.96376037597656,68.11737060546875,50.48947525024414,-63.74074935913086,25.399559020996094
25,2.637,-41.87345504760742,-56.198246002197266,68.61262512207031,45.8722038269043,-64.59292602539062,29.894622802734375
26,2.752,-43.88408660888672,-55.2994384765625,69.17893981933594,39.65593338012695,-65.19381713867188,36.533302307128906
27,2.940,-42.22834777832031,-47.04252624511719,66.7897720336914,32.76380920410156,-62.9959716796875,40.6436767578125
28,3.053,-41.70513916015625,-41.805335998535156,61.83445739746094,37.17481231689453,-62.6104736328125,38.92344665527344
29,3.129,-41.65541076660156,-40.27507781982422,60.3375244140625,39.77980041503906,-62.79227828979492,37.307151794433594
30,3.241,-39.30779266357422,-41.04381561279297,56.678253173828125,50.24665451049805,-62.74774932861328,34.525917053222656
31,3.392,-40.13904571533203,-39.402339935302734,56.728031158447266,45.75726318359375,-62.72288513183594,33.978172302246094
32,3.429,-40.5629768371582,-39.25376892089844,57.46160125732422,41.969825744628906,-62.71958923339844,34.19737243652344
33,3.548,-41.31404113769531,-38.857017517089844,56.500038146972656,44.61064910888672,-62.641754150390625,33.36833572387695
34,3.632,-42.51176071166992,-38.042701721191406,55.60734939575195,46.134254455566406,-62.58931350708008,32.901458740234375
35,3.756,-43.3992919921875,-34.97542953491211,55.49459457397461,44.79419708251953,-62.941802978515625,31.516559600830078
36,3.920,-42.86070251464844,-26.391643524169922,49.307193756103516,43.82805633544922,-61.934940338134766,32.40024948120117
37,3.922,-42.131431579589844,-26.71133041381836,52.03421401977539,41.56695556640625,-62.32444763183594,32.05463409423828
38,4.048,-43.54481887817383,-27.985748291015625,52.71908950805664,42.09987258911133,-62.48218536376953,32.29827880859375
39,4.128,-45.46696472167969,-24.785484313964844,51.61652374267578,40.533409118652344,-62.55357360839844,32.52928161621094
40,4.236,-45.08477783203125,-21.33893585205078,48.07748794555664,43.518741607666016,-61.28852081298828,32.808837890625
41,4.504,-43.53517150878906,-19.835811614990234,49.64575958251953,41.72178649902344,-61.442588806152344,31.77316665649414
42,4.505,-43.270809173583984,-19.737045288085938,50.40861892700195,40.28399658203125,-61.79296112060547,31.44567108154297
43,4.636,-43.608787536621094,-20.09237289428711,50.73930740356445,40.782135009765625,-61.970462799072266,31.5126895904541
44,4.768,-43.79589080810547,-18.06716537475586,48.95841598510742,40.23615264892578,-61.876224517822266,31.762115478515625
45,5.031,-43.69532775878906,-16.497966766357422,44.58742141723633,43.53508377075195,-62.27964782714844,31.580833435058594
46,5.033,-43.31611251831055,-16.727249145507812,45.56878662109375,42.962100982666016,-62.067317962646484,31.4133243560791
47,5.168,-44.74085998535156,-12.516315460205078,37.61839294433594,44.71846008300781,-62.36009216308594,31.856136322021484
